name,image,calories,protein,carbs,fats,summary,key,Freezer Meals,Pressure Cooker Recipes,Keto Recipes,Vegetarian Meals,Low Carb,Meal Prep Recipes,Gluten Free,Paleo,Slow Cooker Recipes,Air Fryer,Under 30 Minutes,Whole 30 Recipes,Dairy Free,Kid Friendly,kitchen,link,W
Chicken Piccata,https://www.skinnytaste.com/wp-content/uploads/2010/05/Chicken-Piccata-8-260x390.jpg,262.0,30.0,11.5,9.5,Chicken Piccata is an Italian chicken dish made with pounded chicken breast in a lemon-wine butter sauce with capers and parsley. Chicken Piccata If you’re looking for more ways...,"Air Fryer,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,0,0,0,1,1,0,0,1,italian,http://www.skinnytaste.com/chicken-piccata/,0
Colombian Chicken Sancocho (Sancocho de Pollo),https://www.skinnytaste.com/wp-content/uploads/2008/11/chicken-sancocho-10-260x390.jpg,405.0,34.0,41.0,8.0,"Sancocho de Pollo, a hearty soup almost like a stew, is a traditional dish in the Antioquia region of Colombia that combines potatoes, yuca, corn, plantains, and chicken. Colombian...","Dairy Free,Freezer Meals,Gluten Free,Kid Friendly",1,0,0,0,0,0,1,0,0,0,0,0,1,1,american,http://www.skinnytaste.com/colombian-chicken-sancocho-sancocho-de/,0
Mushroom-Spinach Scrambled Eggs,https://www.skinnytaste.com/wp-content/uploads/2022/01/Mushroom-Spinach-Scrambled-Eggs-6-260x390.jpg,271.0,21.5,10.0,17.0,"Mushroom-Spinach Scrambled Eggs is one of my go-to quick and easy vegetarian, high-protein breakfast recipes. Mushroom-Spinach Scrambled Eggs This quick breakfast scramble for one is high in protein and...","Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Under 30 Minutes,Vegetarian Meals,Whole 30 Recipes",0,0,1,1,1,0,1,0,0,0,1,1,1,1,american,http://www.skinnytaste.com/mushroom-spinach-scrambled-eggs/,0
Baked Chicken Breasts,https://www.skinnytaste.com/wp-content/uploads/2022/01/Baked-Chicken-Breast-with-Panko-Parmesan-Crumb-Topping-5-260x390.jpg,271.0,40.0,5.0,9.0,"A perfect, juicy Baked Chicken Breast recipe topped with crispy panko-parmesan crumbs are flavorful and delicious! Baked Chicken Breasts The secret to making these Baked Chicken Breasts super juicy...","Gluten Free,Kid Friendly",0,0,0,0,0,0,1,0,0,0,0,0,0,1,american,http://www.skinnytaste.com/baked-chicken-breasts-with-rosemary/,0
Tuna Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2021/11/Tuna-Egg-Salad-2-260x390.jpg,316.0,30.0,4.0,20.0,Tuna Egg Salad is my go-to high-protein lunch when I need something quick – it takes about 15 minutes to make and can be meal prepped ahead. Tuna Egg...,"Dairy Free,Gluten Free,Keto Recipes,Low Carb,Meal Prep Recipes,Under 30 Minutes,Whole 30 Recipes",0,0,1,0,1,1,1,0,0,0,1,1,1,0,mediterranean,http://www.skinnytaste.com/tuna-egg-salad-lettuce-cups/,0
Spaghetti Squash Crust Pizza,https://www.skinnytaste.com/wp-content/uploads/2022/01/Spaghetti-Squash-Pizza-Crust-9-260x390.jpg,303.0,28.0,18.0,17.0,This low-carb Spaghetti Squash Crust Pizza is the only way I can get my husband to eat spaghetti squash – it’s that delicious! Spaghetti Squash Crust Pizza This Spaghetti...,"Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Vegetarian Meals",0,0,1,1,1,0,1,0,0,0,0,0,0,1,italian,http://www.skinnytaste.com/spaghetti-squash-crust-pizza/,0
Healthy 3-Ingredient Banana Oatmeal Cookies,https://www.skinnytaste.com/wp-content/uploads/2013/02/Healthy-Cookies-9-260x390.jpg,93.0,2.0,15.0,3.5,"These Healthy 3-Ingredient Banana Oatmeal Cookies are so easy, perfect for using up those rip bananas sitting on your counter!! 3-Ingredient Banana Oatmeal Cookies Let’s not mistake these healthy...","Dairy Free,Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,1,1,dessert,http://www.skinnytaste.com/3-ingredient-banana-oatmeal-cookies/,0
"Black-Eyed Peas with Leftover Ham, Collard Greens and Cabbage",https://www.skinnytaste.com/wp-content/uploads/2021/12/Black-Eyed-Peas-with-Leftover-Ham-Bone-Collard-Greens-and-Cabbage-7-260x390.jpg,320.0,19.0,50.0,6.0,"Black-Eyed Peas with Leftover Ham, Collard Greens & Cabbage is a great stew to ring in the new year!! Black-Eyed Peas with Ham This easy black-eye pea recipe that...",Dairy Free,0,0,0,0,0,0,0,0,0,0,0,0,1,0,american,http://www.skinnytaste.com/black-eyed-peas-with-leftover-ham-collard-greens-and-cabbage/,0
Sausage and Broccoli Rabe Egg Rolls (Air Fryer or Oven),https://www.skinnytaste.com/wp-content/uploads/2021/12/Sausage-and-Broccoli-Rabe-Egg-Rolls-1-4-260x390.jpg,136.0,10.0,15.0,3.5,These Italian inspired Chicken Sausage and Broccoli Rabe Egg Rolls make a delicious appetizer for the holidays! Sausage and Broccoli Rabe Egg Rolls We love a traditional egg roll...,"Air Fryer,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,0,0,0,1,1,0,0,1,italian,http://www.skinnytaste.com/sausage-and-broccoli-rabe-egg-rolls/,0
Chilled Calamari Salad with Lemon and Parsley,https://www.skinnytaste.com/wp-content/uploads/2011/06/Chilled-Calamari-Salad-5-260x390.jpg,122.0,18.0,8.0,2.0,"A light refreshing calamari salad made with squid, fresh lemon, celery, red onion, roasted peppers, garlic and parsley. Calamari Salad with Lemon and Parsley This chilled calamari salad is...","Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Whole 30 Recipes",0,0,1,0,1,0,1,0,0,0,0,1,1,1,mediterranean,http://www.skinnytaste.com/chilled-calamari-salad-with-lemon-and-parsley/,0
Drunken Mussels,https://www.skinnytaste.com/wp-content/uploads/2021/12/Drunken-Mussels-7-260x390.jpg,307.0,29.0,11.0,12.0,"These Drunken Mussels cook in a quick and easy, garlicky white wine-broth sauce with anchovies for ultimate flavor. Drunken Mussels I love these mussels, especially when prepared with lots...","Dairy Free,Kid Friendly,Low Carb,Under 30 Minutes",0,0,0,0,1,0,0,0,0,0,1,0,1,1,mediterranean,http://www.skinnytaste.com/mussels-in-white-wine-sauce/,0
Baked Oatmeal with Blueberries and Bananas,https://www.skinnytaste.com/wp-content/uploads/2012/01/Baked-Oatmeal-with-Blueberries-and-Bananas-8-260x390.jpg,211.0,5.5,38.0,5.5,"This is the BEST Baked Oatmeal recipe with Blueberries and Bananas. It’s perfect to serve guests for breakfast, brunch, or make it ahead for the week for easy meal...","Gluten Free,Kid Friendly,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,0,0,0,1,american,http://www.skinnytaste.com/baked-oatmeal-with-blueberries-and-bananas/,0
Scallops over Wilted Spinach Parmesan Risotto,https://www.skinnytaste.com/wp-content/uploads/2009/05/Scallops-Over-Wilted-Spinach-Parmesan-Risotto_1-3-260x390.jpg,481.0,23.5,16.0,17.0,These seared sea Scallops Over Wilted Spinach and Parmesan Risotto is easy enough for weeknight cooking or perfect for a special occasion. Scallops over Spinach Parmesan Risotto These Scallops...,Gluten Free,0,0,0,0,0,0,1,0,0,0,0,0,0,0,italian,http://www.skinnytaste.com/scallops-over-wilted-spinach-parmesan/,0
Paprika Smashed Potatoes,https://www.skinnytaste.com/wp-content/uploads/2021/11/Paprika-Smashed-Potatoes-9-260x390.jpg,135.0,2.5,20.5,5.0,"These smashed potatoes, seasoned with paprika, garlic powder, and black pepper, are tender on the inside and crisp on the outside – a delicious side dish for any meal....","Dairy Free,Gluten Free,Kid Friendly,Vegetarian Meals,Whole 30 Recipes",0,0,0,1,0,0,1,0,0,0,0,1,1,1,american,http://www.skinnytaste.com/paprika-smashed-potatoes/,0
Garlic Shrimp,https://www.skinnytaste.com/wp-content/uploads/2010/01/Garlic-Shrimp-4-260x390.jpg,154.0,20.0,3.0,6.5,"This simple Garlic Shrimp recipe, inspired by the flavors of Spain takes just minutes to make and it’s so flavorful, a weeknight dinner win! Garlic Shrimp This recipe is...","Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Paleo,Under 30 Minutes,Whole 30 Recipes",0,0,1,0,1,0,1,1,0,0,1,1,1,1,mediterranean,http://www.skinnytaste.com/garlic-shrimp-with-tomatoes-and-cream/,0
Spaghetti Squash Sausage Lasagna Boats,https://www.skinnytaste.com/wp-content/uploads/2015/12/Spaghetti-Squash-Sausage-Lasagna-Boats-6-260x390.jpg,246.0,17.0,17.0,13.0,"Spaghetti Squash Lasagna Boats starts with roasted spaghetti squash filled with chicken sausage, tomato sauce, ricotta, Parmesan, and mozzarella cheese. Spaghetti Squash Sausage Lasagna Boats What do you put...","Gluten Free,Low Carb",0,0,0,0,1,0,1,0,0,0,0,0,0,0,italian,http://www.skinnytaste.com/spaghetti-squash-sausage-lasagna-boats/,0
Waffled Vegetable Latkes,https://www.skinnytaste.com/wp-content/uploads/2017/12/Veggie-Latkes-1-12-260x390.jpg,205.0,9.0,35.0,4.0,"These Vegetable Latkes, are not your traditional latkes, they’re made with shredded potatoes and a mix of carrots, zucchini and bell pepper, PLUS they’re cooked in a waffle iron...","Dairy Free,Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,1,1,american,http://www.skinnytaste.com/waffled-vegetable-latkes/,0
Herb and Salt-Rubbed Dry Brine Turkey,https://www.skinnytaste.com/wp-content/uploads/2019/11/dry-brine-turkey-9-260x390.jpg,225.0,45.5,,3.5,"This Herb and Salt-Rubbed Dry Brined Turkey comes out so moist and flavorful, with crispy golden skin and juicy tender meat. Herb and Salt-Rubbed Dry Brine Turkey Want an...","Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Whole 30 Recipes",0,0,1,0,1,0,1,0,0,0,0,1,1,1,american,http://www.skinnytaste.com/herb-and-salt-rubbed-dry-brine-turkey/,0
"Baked Pumpkin Pasta with Pancetta, Gruyere, Kale, and White Beans",https://www.skinnytaste.com/wp-content/uploads/2021/11/Pumpkin-Pasta-with-Kale-12-260x390.jpg,473.0,25.5,66.5,13.5,"This Baked Pumpkin Pasta is made with pancetta, kale, and white beans and topped with gruyere and panko crumbs. Baked Pumpkin Pasta This healthy baked pumpkin pasta bake is...",Gluten Free,0,0,0,0,0,0,1,0,0,0,0,0,0,0,italian,http://www.skinnytaste.com/baked-pumpkin-pasta-with-pancetta/,0
"Mom’s Stuffing, Lightened Up",https://www.skinnytaste.com/wp-content/uploads/2010/11/Mom_s-Stuffing-Lightened-Up-6-260x390.jpg,161.0,7.0,23.0,5.0,"My Mom makes the BEST Thanksgiving stuffing, it’s the one thing I crave every year more than the turkey! This recipe has been remade like Mom’s, only just a...",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,american,http://www.skinnytaste.com/moms-stuffing-lightened-up/,0
Makeover Spinach Gratin,https://www.skinnytaste.com/wp-content/uploads/2017/11/Makeover-Spinach-Gratin-10-260x390.jpg,111.0,7.7,9.2,5.5,"This easy makeover Spinach Gratin is creamy and decadent, with a hint of nutmeg baked in the oven topped with melted Gruyere cheese for a must at your Holiday...","Gluten Free,Kid Friendly,Low Carb,Vegetarian Meals",0,0,0,1,1,0,1,0,0,0,0,0,0,1,french,http://www.skinnytaste.com/makeover-spinach-gratin/,0
Roasted Green Beans with Caramelized Onions,https://www.skinnytaste.com/wp-content/uploads/2021/11/Green-Beans-with-Caramelized-Onions-6-260x390.jpg,102.0,3.5,19.0,2.5,This simple side dish of Roasted Green Beans with Caramelized Onions pairs wonderfully with Thanksgiving turkey or roasted chicken. Green Beans with Caramelized Onions This Roasted Green Bean recipe...,"Dairy Free,Gluten Free,Vegetarian Meals,Whole 30 Recipes",0,0,0,1,0,0,1,0,0,0,0,1,1,0,american,http://www.skinnytaste.com/roasted-green-beans-with-caramelized-onions/,0
Turkey Pot Pie with Sweet Potato Topping,https://www.skinnytaste.com/wp-content/uploads/2021/11/Turkey-Mashed-Potato-Pot-Pie-9-260x390.jpg,337.0,37.5,33.0,6.5,This Turkey Pot Pie with Sweet Potato Topping screams comfort food! A delicious way to use up your Thanksgiving leftovers. Turkey Pot Pie with Sweet Potato Topping As a...,"Gluten Free,Kid Friendly",0,0,0,0,0,0,1,0,0,0,0,0,0,1,american,http://www.skinnytaste.com/turkey-pot-pie-with-sweet-potato-topping/,0
Sautéed Shredded Brussels Sprouts with Pancetta,https://www.skinnytaste.com/wp-content/uploads/2011/11/shredded-brussels-sprouts-with-pancetta-1-5-260x390.jpg,87.0,3.5,9.5,4.0,"Sautéed Shredded Brussels Sprouts with Pancetta is the best Brussel sprout recipe! Lightly pan fried until slightly browned on the edges, it’s my favorite way to cook and eat...","Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Paleo,Under 30 Minutes",0,0,1,0,1,0,1,1,0,0,1,0,1,1,italian,http://www.skinnytaste.com/2013/03/sautaed-shredded-brussels-sprouts-withhtml,0
Chicken and Broccoli Noodle Casserole,https://www.skinnytaste.com/wp-content/uploads/2012/02/Chicken-and-Broccoli-Noodle-Casserole-8-260x390.jpg,313.0,27.0,31.0,10.0,"Chicken and Broccoli Noodle Casserole is sure to be a family crowd pleasure for weeknight dinner, even those with picky palates. Chicken and Broccoli Noodle Casserole This dish is...",Kid Friendly,0,0,0,0,0,0,0,0,0,0,0,0,0,1,american,http://www.skinnytaste.com/chicken-and-broccoli-noodle-casserole/,0
Baked Brie Phyllo Cups with Craisins and Walnuts,https://www.skinnytaste.com/wp-content/uploads/2012/11/Baked-Brie-Phyllo-Cups-with-Craisins-and-Walnuts-7-260x390.jpg,60.0,2.0,6.5,3.0,"Easy baked brie in mini phyllo cups topped with craisins, walnuts and honey. Delicious bite-sized appetizers, perfect for the Holidays! Baked Brie Phyllo Cups If you need a quick...","Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,0,0,0,0,1,0,0,0,french,http://www.skinnytaste.com/baked-brie-phyllo-cups-with-craisins/,0
Arugula Salmon Salad with Capers and Shaved Parmesan,https://www.skinnytaste.com/wp-content/uploads/2012/05/Arugula-Salmon-Salad-with-Capers-and-Shaved-Parmesan-260x377.jpg,288.0,32.6,2.1,16.1,"Whenever I make salmon for dinner, I usually cook an extra piece for lunch just to make this arugula salmon salad with capers and shaved Parmesan – so good...","Gluten Free,Keto Recipes,Low Carb,Under 30 Minutes",0,0,1,0,1,0,1,0,0,0,1,0,0,0,mediterranean,http://www.skinnytaste.com/arugula-salmon-salad-with-capers-and/,0
Chicken Cassoulet with Sausage and Swiss Chard,https://www.skinnytaste.com/wp-content/uploads/2021/11/Chicken-Sausage-Swiss-Chard-Cassoulet-6-260x390.jpg,417.0,34.0,45.5,10.5,Chicken Cassoulet with Sausage and Swiss Chard is a hearty meat and white bean stew made lighter than the classic. Chicken Cassoulet Traditionally made with rich pork sausage and...,"Dairy Free,Freezer Meals,Gluten Free",1,0,0,0,0,0,1,0,0,0,0,0,1,0,french,http://www.skinnytaste.com/chicken-cassoulet-with-sausage-and/,0
Roasted Acorn Squash with Brown Sugar,https://www.skinnytaste.com/wp-content/uploads/2017/10/Roasted-Acorn-Squash-with-Brown-Sugar-6-260x390.jpg,143.0,1.5,34.5,2.5,"Roasted acorn squash with brown sugar, butter and cinnamon is a perfect fall side dish or great Thanksgiving side and so easy to prepare. Roasted Acorn Squash with Brown...","Dairy Free,Gluten Free,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,0,0,1,0,american,http://www.skinnytaste.com/roasted-acorn-squash-with-brown-sugar/,0
Drunken Style Noodles with Shrimp,https://www.skinnytaste.com/wp-content/uploads/2021/10/Drunken-Style-Noodles-with-Shrimp-9-260x390.jpg,487.0,35.0,59.5,11.0,"This Drunken Style Noodles with Shrimp recipe is inspired by the popular Thai street food pad kee mao, or “drunken noodles.” Drunken Noodles with Shrimp The flavor of these...","Dairy Free,Gluten Free",0,0,0,0,0,0,1,0,0,0,0,0,1,0,asian,http://www.skinnytaste.com/drunken-style-noodles-with-shrimp/,0
Turkey Cutlets with Parmesan Crust,https://www.skinnytaste.com/wp-content/uploads/2015/11/Turkey-Cutlets-with-Parmesan-Crust-8-260x390.jpg,196.0,29.0,7.0,6.0,"These golden, crisp Turkey Cutlets with Parmesan Crust, pan-fried or air-fried, are a quick weeknight dish the whole family will love! Turkey Cutlets with Parmesan Crust These breaded Parmesan-Crusted...","Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,0,0,0,0,1,0,0,1,italian,http://www.skinnytaste.com/turkey-cutlets-with-parmesan-crust/,0
Huevos Rancheros,https://www.skinnytaste.com/wp-content/uploads/2013/04/Huevos-Rancheros-6-260x390.jpg,414.0,22.5,42.0,18.5,"Huevos rancheros (or rancher’s eggs) are a typical breakfast served at Mexican farms, featuring corn tortillas topped with fried eggs and salsa. Huevos Rancheros These Huevos Rancheros are the...","Gluten Free,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,0,0,american,http://www.skinnytaste.com/huevos-rancheros/,0
Butternut Squash Ravioli with Sage Butter,https://www.skinnytaste.com/wp-content/uploads/2021/10/Butternut-Squash-Ravioli-with-Sage-Butter-9-260x390.jpg,355.0,11.5,46.5,14.5,"An easy butternut squash ravioli recipe made with wonton wrappers – the perfect shortcut instead of making your own pasta. They are delicate and light, perfect in a sage...",Vegetarian Meals,0,0,0,1,0,0,0,0,0,0,0,0,0,0,italian,http://www.skinnytaste.com/butternut-squash-ravioli-with-sage-butter/,0
Easy Black Bean Vegetarian Chili with Spiced Yogurt,https://www.skinnytaste.com/wp-content/uploads/2021/09/Easy-Black-Bean-Vegetarian-Chili-20-260x390.jpg,264.0,14.5,44.5,4.5,This Easy Black Bean Vegetarian Chili topped with Spiced Yogurt takes about 20 minutes to cook but tastes like it simmered for hours. Black Bean Vegetarian Chili with Spiced...,"Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,0,1,american,http://www.skinnytaste.com/slow-cooker-black-bean-chili/,0
Air Fryer Chicken Milanese with Mediterranean Salad,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Chicken-Milanese-8-260x390.jpg,562.0,63.0,28.5,21.0,"This crispy Air Fryer Breaded Chicken Breast is topped with a Mediterranean Salad of tomatoes, red onion, romaine lettuce, and grated Feta cheese – so good! Air Fryer Mediterranean...","Air Fryer,Gluten Free,Under 30 Minutes",0,0,0,0,0,0,1,0,0,1,1,0,0,0,mediterranean,http://www.skinnytaste.com/air-fryer-chicken-milanese-with-mediterranean-salad/,0
Apple Cobbler,https://www.skinnytaste.com/wp-content/uploads/2011/10/Skinny-Apple-Cobbler-12-260x390.jpg,215.0,1.5,44.5,4.0,"Apple Cobbler made with warm cinnamon apples and a golden cobbler crust. Top it with whipped topping or yogurt, the perfect fall dessert! Apple Cobbler Apple Cobbler is one...",Vegetarian Meals,0,0,0,1,0,0,0,0,0,0,0,0,0,0,dessert,http://www.skinnytaste.com/apple-cobbler-with-oatmeal-crumb-topping/,0
Salisbury Steak with Mushroom Gravy,https://www.skinnytaste.com/wp-content/uploads/2012/01/Skinny-Salisbury-Steak-with-Mushrooms-6-260x390.jpg,247.0,27.0,10.5,11.0,This classic Salisbury Steak recipe is smothered in mushroom gravy and ready in under 30 minutes! Salisbury Steak Lean ground beef and turkey are combined to lighten up this...,"Dairy Free,Freezer Meals,Kid Friendly,Low Carb,Under 30 Minutes",1,0,0,0,1,0,0,0,0,0,1,0,1,1,american,http://www.skinnytaste.com/salisbury-steak-with-mushroom-gravy/,0
Tofu Stir Fry with Vegetables in a Soy Sesame Sauce,https://www.skinnytaste.com/wp-content/uploads/2021/09/Tofu-Stir-Fry-8-260x390.jpg,294.0,18.5,21.5,16.0,This quick and easy Sesame Soy Tofu Stir Fry is loaded with fresh and colorful vegetables and plant-based protein. Tofu Stir Fry This simple Tofu Veggie Stir Fry turned...,"Dairy Free,Gluten Free,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,1,0,asian,http://www.skinnytaste.com/tofu-stir-fry-with-vegetables-in-a/,0
Pumpkin Cream Cheese Muffins,https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5-260x390.jpg,170.0,3.5,25.0,6.0,"Pumpkin Cream Cheese Muffins are moist, delicious and perfectly spiced! A delicious fall breakfast made with canned pumpkin, pumpkin spice and a cream cheese swirl topping. Pumpkin Cream Cheese...","Freezer Meals,Kid Friendly,Vegetarian Meals",1,0,0,1,0,0,0,0,0,0,0,0,0,1,american,http://www.skinnytaste.com/skinny-mini-pumpkin-cream-cheese/,0
Autumn Apple and Grape Medley (Fruit Salad),https://www.skinnytaste.com/wp-content/uploads/2011/09/Autumn-Apple-and-Grape-Medley-4-260x390.jpg,209.0,6.0,36.0,8.5,"Sweet, crunchy apples and grapes in a creamy yogurt and cream cheese sauce topped with crushed walnuts and brown sugar are the perfect fall treat or dessert. Autumn Apple...","Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,0,1,dessert,http://www.skinnytaste.com/autumn-apple-and-grape-medley-fruit/,0
Pumpkin Pie Overnight Oats,https://www.skinnytaste.com/wp-content/uploads/2012/09/Skinny-Pumpkin-Overnight-Oats-9-260x390.jpg,269.0,10.0,40.5,12.0,"Pumpkin Pie Overnight Oats is a healthy plant-based breakfast made with my homemade pumpkin butter, oat milk, chia and spices, refrigerated overnight and topped with banana and nuts/seeds. No...","Dairy Free,Gluten Free,Kid Friendly,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,0,0,1,1,american,http://www.skinnytaste.com/pumpkin-pie-overnight-oats/,0
Chicken Cutlet Caprese Salad,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Cutlet-Caprese-Salad-7-260x390.jpg,462.0,45.5,14.5,24.0,"Chicken Cutlet Caprese Salad takes advantage of end-of-summer heirloom tomatoes with lightly pan-fried chicken cutlets, fresh mozzarella, and basil. Chicken Cutlet Caprese Salad This Chicken Cutlet Caprese Salad is...","Gluten Free,Meal Prep Recipes",0,0,0,0,0,1,1,0,0,0,0,0,0,0,italian,http://www.skinnytaste.com/chicken-cutlet-caprese-salad/,0
Strawberry Cheesecake Dip,https://www.skinnytaste.com/wp-content/uploads/2021/09/Strawberry-Cheesecake-Dip-10-260x390.jpg,103.0,3.5,16.5,3.0,"Strawberry Cheesecake Dip tastes just like cheesecake in dip form – perfect for serving with fresh fruit or graham crackers. Strawberry Cheesecake Dip With Madison back in school, I’ve...","Gluten Free,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,1,0,0,0,1,0,0,1,dessert,http://www.skinnytaste.com/strawberry-cheesecake-dip/,0
Beef Stew with Pumpkin,https://www.skinnytaste.com/wp-content/uploads/2021/09/Beef-Stew-with-Pumpkin-8-260x390.jpg,600.0,46.0,16.0,39.0,This hearty beef stew cooks low and slow on the stove with pumpkin (or butternut/acorn squash) added when the beef is tender. Serve with crusty bread to soak up...,"Dairy Free,Freezer Meals,Kid Friendly,Pressure Cooker Recipes,Slow Cooker Recipes",1,1,0,0,0,0,0,0,1,0,0,0,1,1,american,http://www.skinnytaste.com/beef-stew-with-pumpkin-and-black-beans/,0
Chicken Romano Meatballs,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Romano-Meatballs-9-260x390.jpg,295.0,26.0,16.0,13.0,"These flavor-packed Chicken Romano Meatballs stuffed with Romano cheese, herbs, and garlic are topped with a lemony white wine pan sauce. Chicken Romano Meatballs These Chicken Roman Meatballs take...",Gluten Free,0,0,0,0,0,0,1,0,0,0,0,0,0,0,italian,http://www.skinnytaste.com/chicken-romano-meatballs/,0
Chicken Cacciatore,https://www.skinnytaste.com/wp-content/uploads/2008/06/Chicken-Cacciatore-3-260x390.jpg,288.0,22.5,43.0,4.5,"Chicken Cacciatore is a rustic Italian chicken dish made with bell peppers and mushrooms simmered in tomato sauce. Chicken Cacciatore It’s great over pasta, polenta or mashed potatoes. This...","Freezer Meals,Kid Friendly",1,0,0,0,0,0,0,0,0,0,0,0,0,1,italian,http://www.skinnytaste.com/chicken-cacciatore/,0
Summer Vegetables with Sausage and Potatoes Skillet (One Pot),https://www.skinnytaste.com/wp-content/uploads/2012/07/Summer-Vegetables-with-Sausage-and-Potatoes-7-260x390.jpg,307.0,21.0,33.5,10.5,"This easy one-pot skillet dinner is made with chicken sausage, bell peppers, zucchini, baby red potatoes and fresh herbs. Summer Vegetables with Sausage and Potatoes I love a meal...","Dairy Free,Gluten Free,Kid Friendly,Whole 30 Recipes",0,0,0,0,0,0,1,0,0,0,0,1,1,1,mediterranean,http://www.skinnytaste.com/summer-vegetables-sausage-and-potatoes/,0
Cilantro Lime Chicken Breast (Grilled or Air Fryer),https://www.skinnytaste.com/wp-content/uploads/2021/08/Cilantro-Lime-Chicken-Breast-5-260x390.jpg,217.0,38.5,0.5,5.5,"Cilantro Lime Chicken Breast is marinated in olive oil, lime juice, lime zest, garlic, and cilantro and cooked in the air fryer or on the grill/grill pan. Cilantro Lime...","Air Fryer,Dairy Free,Gluten Free,Low Carb",0,0,0,0,1,0,1,0,0,1,0,0,1,0,american,http://www.skinnytaste.com/cilantro-lime-chicken-breast/,0
