name,image,calories,protein,carbs,fats,summary,key,Freezer Meals,Pressure Cooker Recipes,Keto Recipes,Vegetarian Meals,Low Carb,Meal Prep Recipes,Gluten Free,Paleo,Slow Cooker Recipes,Air Fryer,Under 30 Minutes,Whole 30 Recipes,Dairy Free,Kid Friendly,kitchen,link,W
Spicy Sriracha Tofu Rice Bowls (Air Fryer or Oven),https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sriracha-Tofu-Rice-Bowls-11-260x390.jpg,453.0,29.0,38.0,20.0,These Spicy Sriracha Tofu Rice Bowls (air fryer or oven directions) make a flavorful protein-packed meatless meal that comes together quickly! Sriracha Tofu Rice Bowls If you like spicy...,"Air Fryer,Dairy Free,Gluten Free,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,1,1,0,1,0,asian,http://www.skinnytaste.com/spicy-sriracha-tofu-rice-bowls-air-fryer-or/,0
Banana Nut Protein Oats,https://www.skinnytaste.com/wp-content/uploads/2021/08/Banana-Nut-Protein-Oats-7-260x390.jpg,388.0,18.5,63.5,9.0,"This protein-packed bowl of oatmeal, sweetened with ripe banana and just a touch of maple syrup, uses vanilla protein shake, egg whites to add more protein and make the...","Gluten Free,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,0,0,american,http://www.skinnytaste.com/banana-nut-protein-oats/,0
Sausage Pepper and Onion Stromboli (Stuffed Sausage Bread),https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sausage-and-Pepper-Bread-11-260x390.jpg,272.0,12.5,43.5,5.5,"Sausage, Pepper and Onion Stromboli (Stuffed Sausage Bread) stuffed with Italian chicken sausage, peppers, onions, pomodoro and mozzarella. Sausage Pepper and Onion Stromboli This sausage and pepper bread is...",Kid Friendly,0,0,0,0,0,0,0,0,0,0,0,0,0,1,italian,http://www.skinnytaste.com/sausage-pepper-and-onion-stromboli-stuffed/#,0
Oven Fried Chicken (Air Fryer Fried Chicken),https://www.skinnytaste.com/wp-content/uploads/2009/07/Oven-Fried-Chicken-6-260x390.jpg,158.0,14.5,15.0,5.0,This oven “fried” chicken is extra crispy from a secret ingredient – bran flakes! It’s moist yet still light since little oil is used. You can also make it...,"Air Fryer,Dairy Free,Gluten Free,Kid Friendly",0,0,0,0,0,0,1,0,0,1,0,0,1,1,american,http://www.skinnytaste.com/air-fryer-fried-chicken/,0
Portuguese Seafood Stew,https://www.skinnytaste.com/wp-content/uploads/2009/03/Portugese-Seafood-Stew-7-260x390.jpg,447.0,59.5,16.5,10.5,"Portuguese Seafood Stew made with clams, shrimp, scallops and chorizo comes together in minutes! Serve it with some crusty bread and enjoy! Portuguese Seafood Stew This Portuguese Seafood Stew...","Dairy Free,Gluten Free,Low Carb,Under 30 Minutes",0,0,0,0,1,0,1,0,0,0,1,0,1,0,american,http://www.skinnytaste.com/portuguese-seafood-stew/,0
Air Fryer Roasted Cauliflower Tacos,https://www.skinnytaste.com/wp-content/uploads/2021/08/Air-Fryer-Roasted-Cauliflower-Tacos-6-260x390.jpg,284.0,8.5,22.5,21.5,"When you want meatless tacos, try these roasted cauliflower tacos made in the air fryer, topped with Peruvian green sauce and pickled red onions. Air Fryer Roasted Cauliflower Tacos...","Air Fryer,Vegetarian Meals",0,0,0,1,0,0,0,0,0,1,0,0,0,0,mediterranean,http://www.skinnytaste.com/air-fryer-roasted-cauliflower-tacos/,0
Garden Tomato Sauce,https://www.skinnytaste.com/wp-content/uploads/2021/08/Garden-Tomato-Sauce-7-260x390.jpg,61.0,1.5,9.0,3.0,"In the summer, there’s nothing better than homemade, fresh garden tomato sauce – perfect for your favorite pasta dish! Garden Tomato Sauce I have a garden in my backyard,...","Dairy Free,Freezer Meals,Gluten Free,Kid Friendly,Low Carb,Vegetarian Meals",1,0,0,1,1,0,1,0,0,0,0,0,1,1,italian,http://www.skinnytaste.com/garden-tomato-sauce/,0
Coconut Red Curry Shrimp Skewers,https://www.skinnytaste.com/wp-content/uploads/2021/07/Coconut-Red-Curry-Shrimp-Skewers-4-260x390.jpg,252.0,36.0,13.0,5.0,"Grilled Coconut Red Curry Shrimp Skewers with bell pepper and onions are so flavorful, thanks to one of my favorite pantry staples – red curry paste. Coconut Red Curry...","Dairy Free,Gluten Free,Kid Friendly,Low Carb,Paleo,Whole 30 Recipes",0,0,0,0,1,0,1,1,0,0,0,1,1,1,asian,http://www.skinnytaste.com/coconut-red-curry-shrimp-skewers/,0
Spice Rubbed Grilled Salmon with Black Beans and Corn,https://www.skinnytaste.com/wp-content/uploads/2012/04/Smoky-Spice-Rubbed-Grilled-Salmon-with-Black-Beans-and-Corn-14-260x390.jpg,442.0,43.5,39.0,13.0,Grilled salmon seasoned with a smokey rub served with a fresh black beans and corn salsa. Grilled Salmon with Black Bean Salsa These grilled salmon are steaks rubbed with...,"Dairy Free,Gluten Free,Under 30 Minutes",0,0,0,0,0,0,1,0,0,0,1,0,1,0,american,http://www.skinnytaste.com/spice-rubbed-grilled-salmon-with-black/,0
Strawberry Scones,https://www.skinnytaste.com/wp-content/uploads/2010/06/Low-Fat-Strawberry-Scones-8-260x390.jpg,201.0,4.5,32.0,6.5,"Strawberry Scones made lighter, a wonderful breakfast and a delicious way to use up fresh strawberries! Strawberry Scones Can a morning get better than freshly baked strawberry scones topped...","Kid Friendly,Meal Prep Recipes",0,0,0,0,0,1,0,0,0,0,0,0,0,1,dessert,http://www.skinnytaste.com/strawberry-scones/,0
Air Fryer Burst Tomato Burrata Caprese Salad,https://www.skinnytaste.com/wp-content/uploads/2021/07/Air-Fryer-Burst-Tomato-Burrata-Caprese-Salad-5-260x390.jpg,307.0,15.0,30.0,18.0,Burst tomatoes are so quick and easy to make in the air fryer. Adding burrata cheese and arugula turns this into a delicious summer salad. Air Fryer Burst Tomato...,"Air Fryer,Gluten Free,Low Carb,Under 30 Minutes,Vegetarian Meals",0,0,0,1,1,0,1,0,0,1,1,0,0,0,italian,http://www.skinnytaste.com/air-fryer-burst-tomato-burrata-caprese-salad/,0
Cilantro Chicken Salad,https://www.skinnytaste.com/wp-content/uploads/2010/06/Cilantro-Chicken-Salad-5-260x390.jpg,160.5,23.0,3.0,6.0,"This easy chicken salad recipe is made with scallions, cilantro with a hint of lime. It’s a tasty twist on traditional chicken salad with some Latin flavor! Cilantro Chicken...","Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Meal Prep Recipes,Under 30 Minutes",0,0,1,0,1,1,1,0,0,0,1,0,0,1,american,http://www.skinnytaste.com/cilantro-chicken-salad/,0
"Grilled Steak With Tomatoes, Red Onion and Balsamic",https://www.skinnytaste.com/wp-content/uploads/2017/08/Grilled-Flank-Steak-with-Tomatoes-Red-Onion-and-Balsamic-8-260x390.jpg,198.0,25.0,3.0,9.0,"One of my favorite ways to make grilled steak in the summer. Topped with fresh chopped tomatoes, red onion, balsamic and oil. It’s fresh and a great way to...","Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Paleo,Under 30 Minutes,Whole 30 Recipes",0,0,1,0,1,0,1,1,0,0,1,1,0,1,mediterranean,http://www.skinnytaste.com/grilled-steak-with-tomatoes-red-onion/,0
Baby Red Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5-260x390.jpg,107.2,2.2,17.8,3.2,"This Baby Red Potato Salad is light on the mayonnaise, it will be your new go-to for summer BBQs. Baby Red Potato Salad I love a good homemade potato...","Gluten Free,Kid Friendly,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,0,0,0,1,american,http://www.skinnytaste.com/baby-red-potato-and-watercress-salad/,0
Foil Packet Cheesy Sausage and Peppers,https://www.skinnytaste.com/wp-content/uploads/2021/06/Foil-Packet-Cheesy-Sausage-and-Peppers-9-260x390.jpg,223.0,18.5,12.5,11.5,"Foil Packet Cheesy Sausage and Peppers are so easy to make on the grill if you’re camping, vacationing, or just looking for an easy dinner with even easier cleanup!...","Gluten Free,Kid Friendly,Low Carb",0,0,0,0,1,0,1,0,0,0,0,0,0,1,italian,http://www.skinnytaste.com/foil-packet-cheesy-sausage-and-peppers/,0
Red White and Blue Fruit Skewers with Cheesecake Yogurt Dip,https://www.skinnytaste.com/wp-content/uploads/2013/05/strawberry-blueberry-skewers-05-260x390.jpg,105.0,3.0,18.5,2.5,Easy Red White and Blue Fruit Skewers with Cheesecake Yogurt Dip is the perfect no-bake dessert for the summer! Red White and Blue Fruit Skewers If you need a...,"Kid Friendly,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,0,0,0,0,1,0,0,1,dessert,http://www.skinnytaste.com/red-white-blue-fruit-skewers-with/,0
Mexican Adobo Rubbed Grilled Pork Tenderloin,https://www.skinnytaste.com/wp-content/uploads/2013/04/Grilled-Pork_10-260x390.jpg,182.0,27.5,3.0,6.5,"Make this flavorful grilled pork tenderloin seasoned with homemade Mexican adobo seasoning for a tasty weeknight dinner! Mexican Adobo Grilled Pork Tenderloin Lean pork tenderloin, rubbed with homemade Mexican...","Dairy Free,Gluten Free,Keto Recipes,Low Carb,Paleo",0,0,1,0,1,0,1,1,0,0,0,0,1,0,american,http://www.skinnytaste.com/mexican-adobo-rubbed-grilled-pork/,0
Slow Cooker Pulled Pork,https://www.skinnytaste.com/wp-content/uploads/2012/04/pulled-pork-06-1-260x390.jpg,203.0,30.5,12.5,3.0,This easy Slow Cooker Pulled Pork is made with my homemade BBQ sauce – it smells incredible while it slow cooks all day and comes out tender and delicious....,"Dairy Free,Gluten Free,Kid Friendly,Slow Cooker Recipes",0,0,0,0,0,0,1,0,1,0,0,0,1,1,american,http://www.skinnytaste.com/slow-cooker-pulled-pork/,0
Grilled Bruschetta Chicken,https://www.skinnytaste.com/wp-content/uploads/2017/05/Grilled-Chicken-Bruschetta-3-260x390.jpg,282.0,38.5,7.0,11.0,"Grilled Chicken Bruschetta is a summer staple in my house! Basically a caprese made with juicy tomatoes, mozzarella, basil, red onion, garlic and balsamic, a delicious weeknight meal! Grilled...","Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Paleo,Under 30 Minutes,Whole 30 Recipes",0,0,1,0,1,0,1,1,0,0,1,1,0,1,mediterranean,http://www.skinnytaste.com/grilled-bruschetta-chicken/,0
Caesar-Marinated Chicken Kabobs with Zucchini and Grilled Romaine,https://www.skinnytaste.com/wp-content/uploads/2021/06/Chicken-Caesar-Skewers-8-260x390.jpg,289.0,40.5,9.5,10.0,Caesar-Marinated Chicken Zucchini Kabobs made with my homemade Caesar salad dressing and grilled romaine for a light and delicious summer dinner. Caesar-Marinated Chicken Kabobs with Zucchini Caesar dressing is...,"Gluten Free,Kid Friendly,Low Carb",0,0,0,0,1,0,1,0,0,0,0,0,0,1,italian,http://www.skinnytaste.com/caesar-marinated-chicken-kabobs-with/,0
Grilled Shrimp Panzanella Skewers,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Panzanella-Skewers-4-260x390.jpg,216.0,28.0,18.0,3.0,"Grilled Shrimp Panzanella Skewers, layered with summer peaches, tomatoes, and sourdough bread, finished with balsamic and fresh basil. Grilled Shrimp Panzanella Skewers Panzanella is a traditional Italian bread salad,...","Dairy Free,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,0,0,0,0,1,0,1,1,italian,http://www.skinnytaste.com/grilled-shrimp-panzanella-skewers/,0
"Ground Turkey Skillet with Zucchini, Corn, Black Beans and Tomato",https://www.skinnytaste.com/wp-content/uploads/2021/06/Santa-Fe-Turkey-Zucchini-Bowls_-4-260x390.jpg,266.0,28.0,22.5,8.5,"This quick, one-pot Ground Turkey Skillet with zucchini, corn, tomatoes, and black beans is great for weeknight dinner or meal prep! Ground Turkey Skillet I just love an easy...","Dairy Free,Gluten Free,Kid Friendly,Meal Prep Recipes,Under 30 Minutes",0,0,0,0,0,1,1,0,0,0,1,0,1,1,american,http://www.skinnytaste.com/ground-turkey-skillet-with-zucchini-corn/,0
Shrimp Ceviche,https://www.skinnytaste.com/wp-content/uploads/2021/06/Shrimp-Ceviche-8-260x390.jpg,147.0,24.0,7.0,2.0,"Shrimp “cook” in lime juice to make this flavorful Shrimp Ceviche, with fresh cilantro, cucumbers and jalapeño. The perfect summer appetizer! Shrimp Ceviche This ceviche recipe is an incredibly...","Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Under 30 Minutes,Whole 30 Recipes",0,0,1,0,0,0,1,0,0,0,1,1,1,1,mediterranean,http://www.skinnytaste.com/shrimp-ceviche/,0
Asparagus and Swiss Cheese Frittata,https://www.skinnytaste.com/wp-content/uploads/2013/05/Asparagus-and-Swiss-Cheese-Frittata-7-260x390.jpg,243.0,19.0,9.0,15.0,"Spring asparagus, shallots and Swiss cheese is a delicious combination with eggs in this slimmed down frittata which is perfect for breakfast, lunch or dinner! Asparagus and Swiss Cheese...","Gluten Free,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,0,0,french,http://www.skinnytaste.com/asparagus-and-swiss-cheese-frittata/,0
Arroz Congri (Cuban Rice and Black Beans),https://www.skinnytaste.com/wp-content/uploads/2011/02/arroz-congri-rice-10-260x390.jpg,143.0,6.5,27.5,2.5,Arroz Congri is a Cuban black bean and rice dish using canned black beans that can be served as a side or meatless main dish. Arroz Congri (Cuban Rice...,"Dairy Free,Gluten Free,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,0,0,1,0,american,http://www.skinnytaste.com/cuban-rice-and-black-beans-arroz-congri/,0
Mayo-less Tuna Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2011/05/Mayo-less-Tuna-Salad-5-260x390.jpg,271.5,24.5,23.0,10.5,This Mayo-less Tuna Pasta Salad is the answer if you’re not a fan of mayonnaise and love a cold tuna pasta salad for lunch on a hot summer day....,"Gluten Free,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,1,0,0,0,1,0,0,1,italian,http://www.skinnytaste.com/mayo-less-tuna-pasta-salad/,0
Grilled Flank Steak with Black Bean and Corn Salsa,https://www.skinnytaste.com/wp-content/uploads/2012/05/grilled-flank-steak-10-260x390.jpg,250.0,25.5,9.0,9.5,"Grilled Flank Steak with a flavorful tomato, corn and black bean salsa is an easy, summer 30-minute weeknight dish! Grilled Flank Steak with Black Bean Salsa In the summer...","Dairy Free,Gluten Free,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,1,0,0,0,1,0,1,1,mediterranean,http://www.skinnytaste.com/grilled-flank-steak-with-black-bean-and/,0
Shrimp Egg Rolls (Air Fryer or Baked),https://www.skinnytaste.com/wp-content/uploads/2021/06/Air-Fryer-Shrimp-Egg-Rolls-9-260x390.jpg,137.0,11.0,16.0,3.0,"Easy Shrimp Egg Rolls inspired by my favorite Chinese take-out only healthier, loaded with shrimp in every bite. Air fryer or baked! Shrimp Egg Rolls I love cooking egg...","Air Fryer,Dairy Free,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,0,0,0,1,1,0,1,1,asian,http://www.skinnytaste.com/shrimp-egg-rolls-air-fryer/,0
Lobster Roll Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2021/05/Lobster-Roll-Pasta-Salad-11-260x390.jpg,282.0,23.5,34.0,5.5,"Lobster Roll Pasta Salad, inspired by one of my favorite summer sandwiches – a lobster roll – is loaded with lobster in every bite! Lobster Roll Pasta Salad This...","Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,0,0,0,0,1,0,0,1,american,http://www.skinnytaste.com/blog/2012/07/lobster-roll-pasta-saladhtml,0
Triple Berry Crisp,https://www.skinnytaste.com/wp-content/uploads/2011/07/Triple-Berry-Crisp_11-260x390.jpg,152.0,2.0,29.5,4.5,"When summer berries are at their peak, make this warm berry crisp, and enjoy it with a scoop of frozen yogurt or whipped cream. Triple Berry Crisp This Triple Berry Crisp...","Gluten Free,Kid Friendly,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,0,0,0,1,dessert,http://www.skinnytaste.com/triple-berry-crisp/,0
Air Fryer Chicken Sandwich with Sriracha Mayo,https://www.skinnytaste.com/wp-content/uploads/2021/05/air-fryer-chicken-sandwich-21-260x390.jpg,334.0,35.0,31.0,8.0,"This spicy, Air Fryer Chicken Sandwich inspired by Chick-fil-a is made with lean chicken breast brined in pickle juice and buttermilk, served with pickles and sriracha mayo  – SO...","Air Fryer,Kid Friendly",0,0,0,0,0,0,0,0,0,1,0,0,0,1,american,http://www.skinnytaste.com/air-fryer-chicken-sandwich-with-sriracha-mayo/,0
Ambrosia Fruit Salad,https://www.skinnytaste.com/wp-content/uploads/2009/05/Ambrosia-Salad-1-2-260x390.jpg,163.0,1.5,26.0,7.0,"This lighter Ambrosia Salad, full of fresh fruit, whipped cream, walnuts, and marshmallows, is the perfect Spring or Summer dessert. Ambrosia Fruit Salad Ambrosia is a creamy fruit salad...","Gluten Free,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,1,0,0,0,1,0,0,1,dessert,http://www.skinnytaste.com/ambrosia-fruit-salad/,0
"Quinoa Salad with Kale, Cranberries and Mint",https://www.skinnytaste.com/wp-content/uploads/2021/05/Quinoa-Salad-with-Kale-Cranberries-and-Mint-7-260x390.jpg,191.0,5.0,30.0,6.0,"This healthy Quinoa Salad with Kale, Cranberries and Mint is perfect for bringing to a potluck or serving with anything you’re grilling, like chicken , fish, or steaks. Quinoa...","Dairy Free,Gluten Free,Meal Prep Recipes,Vegetarian Meals",0,0,0,1,0,1,1,0,0,0,0,0,1,0,mediterranean,http://www.skinnytaste.com/quinoa-salad-with-kale-cranberries-and-mint/,0
Watermelon Feta Salad,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-7-260x390.jpg,85.0,3.5,9.5,4.0,"This easy Watermelon Feta Salad, made with only four ingredients, is a summer staple at your next summer BBQ! Watermelon Feta Salad Need an easy side dish for Memorial...","Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,0,1,mediterranean,http://www.skinnytaste.com/watermelon-feta-salad/,0
Oatmeal Berry Smoothie Bowl,https://www.skinnytaste.com/wp-content/uploads/2021/05/Oatmeal-Berry-Smoothie-Bowl-8-260x390.jpg,154.0,3.0,33.5,2.0,"When you want oatmeal AND a smoothie bowl, try this delicious Oatmeal Berry Smoothie Bowl made with oats, frozen berries and bananas. Oatmeal Berry Smoothie Bowl This mixed berry...","Dairy Free,Kid Friendly,Meal Prep Recipes,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,1,0,0,0,0,1,0,1,1,american,http://www.skinnytaste.com/oatmeal-berry-smoothie-bowl/,0
Skillet Cajun Spiced Fish with Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2012/03/Skillet-Flounder-with-Tomatoes-6-260x390.jpg,206.0,33.0,10.0,4.0,"Cajun spices, tomatoes, onions and peppers give any white fish extra pizazz and a little kick. Super easy and quick! Skillet Cajun Spiced Fish with Tomatoes Here I used...","Dairy Free,Gluten Free,Keto Recipes,Low Carb,Paleo,Under 30 Minutes",0,0,1,0,1,0,1,1,0,0,1,0,1,0,american,http://www.skinnytaste.com/skillet-cajun-spiced-fish-with-tomatoes/,0
Bisteces a la Mexicana (Mexican Style Beef Stew),https://www.skinnytaste.com/wp-content/uploads/2021/05/Bistecas-a-la-Mexicana-8-260x390.jpg,227.0,24.0,5.5,11.5,"Bisteces a la Mexicana is a flavorful Mexican-style beef stew that cooks on low heat with tomatoes, jalapenos, onion, herbs and spices. Bisteces a la Mexicana (Mexican Beef Stew)...","Dairy Free,Gluten Free",0,0,0,0,0,0,1,0,0,0,0,0,1,0,american,http://www.skinnytaste.com/bisteces-a-la-mexicana-mexican-style-beef-stew/,0
Cheeseburger Crunch Wrap,https://www.skinnytaste.com/wp-content/uploads/2021/05/Cheeseburger-Crunch-Wrap-11-260x390.jpg,354.0,33.0,22.0,18.5,"This Cheeseburger Crunch Wrap is so easy, stuffed with classic burger ingredients and wrapped in a crunchy tortilla. Use any burger meat you wish here! Cheeseburger Crunch Wrap Recently...","Air Fryer,Kid Friendly,Low Carb,Under 30 Minutes",0,0,0,0,1,0,0,0,0,1,1,0,0,1,american,http://www.skinnytaste.com/cheeseburger-crunch-wrap/,0
Grilled Vegetable Orzo Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2021/05/Farmer_s-Market-Orzo-Salad-8-260x390.jpg,267.0,6.5,39.5,9.0,"Grilled vegetables from the farmers market shine in this vegetarian orzo pasta salad, perfect as a side dish or meatless main. Grilled Vegetable Orzo Pasta Salad This delicious pasta...","Dairy Free,Kid Friendly,Vegetarian Meals",0,0,0,1,0,0,0,0,0,0,0,0,1,1,mediterranean,http://www.skinnytaste.com/grilled-vegetable-orzo-pasta-salad/,0
Salmon Fried Rice,https://www.skinnytaste.com/wp-content/uploads/2020/12/Salmon-Fried-Rice-3-260x390.jpg,408.0,34.0,28.0,17.5,Salmon Fried Rice for one is made with with frozen brown rice and riced cauliflower for a quick meal you can whip up in 20 minutes for lunch or...,"Dairy Free,Gluten Free,Under 30 Minutes",0,0,0,0,0,0,1,0,0,0,1,0,1,0,asian,http://www.skinnytaste.com/salmon-fried-rice/,0
Pico de Gallo Salsa,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9-260x390.jpg,36.5,1.0,8.0,0.5,"Pico de Gallo Salsa is a fresh and healthy salsa recipe made with fresh tomatoes, onions, cilantro and lots of lime. Goes great with chips, grilled fish, chicken, burrito...","Dairy Free,Gluten Free,Paleo,Under 30 Minutes,Vegetarian Meals,Whole 30 Recipes",0,0,0,1,0,0,1,1,0,0,1,1,1,0,mediterranean,http://www.skinnytaste.com/pico-de-gallo-salsa/,0
Quick and Delicioso Cuban Style Black Beans,https://www.skinnytaste.com/wp-content/uploads/2011/01/Cuban-Black-Beans-9-260x390.jpg,114.0,7.0,20.0,3.0,"These are my go-to Cuban Style Black Beans when I want a quick side dish from canned beans to go with rice and steak, Pernil, pollo, etc. Cuban Style...","Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,0,0,0,0,1,0,0,0,american,http://www.skinnytaste.com/quick-and-delicious-cuban-style-black-beans/,0
Strawberries and Yogurt Whipped Cream,https://www.skinnytaste.com/wp-content/uploads/2021/04/Strawberries-and-Yogurt-Whipped-Cream-10-260x390.jpg,125.0,2.5,13.0,7.5,"This lighter Strawberries and Cream folds Greek yogurt right into the whipped cream for a healthier (and yummier) spin on the classic! Strawberries and Cream On weekends, I occasionally...","Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,0,1,american,http://www.skinnytaste.com/strawberries-and-yogurt-whipped-cream/,0
Low-Yolk Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2011/04/Half-Yolk-Egg-Salad-3-260x390.jpg,122.0,9.5,2.0,7.6,"This easy, low-yolk egg salad is made with a mix of whole eggs and egg whites with a little mayo and scallions. Serve this on your favorite whole grain...","Dairy Free,Gluten Free,Keto Recipes,Low Carb,Meal Prep Recipes,Paleo,Under 30 Minutes,Vegetarian Meals,Whole 30 Recipes",0,0,1,1,1,1,1,1,0,0,1,1,1,0,american,http://www.skinnytaste.com/low-yolk-egg-salad/,0
Air Fryer Bacon Wrapped Pork Tenderloin,https://www.skinnytaste.com/wp-content/uploads/2021/04/Bacon-Wrapped-Pork-Loin-7-260x390.jpg,153.0,26.5,0.5,4.0,This quick and simple Bacon-Wrapped Pork Tenderloin cooked in the air fryer is perfect for weeknight dinners and packed with so much flavor! Air Fryer Bacon-Wrapped Pork Tenderloin Here’s...,"Air Fryer,Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Under 30 Minutes",0,0,1,0,1,0,1,0,0,1,1,0,1,1,american,http://www.skinnytaste.com/air-fryer-bacon-wrapped-pork-tenderloin/,0
Spanish Tortilla with Pimenton Aioli,https://www.skinnytaste.com/wp-content/uploads/2021/03/Spanish-Tortilla_new-8-260x390.jpg,247.0,9.0,21.5,14.5,"Spanish Tortilla with Pimenton Aioli is a layered potato and egg open-faced omelet. Serve it as an appetizer, snack, or main for breakfast/brunch or a light dinner. Spanish Tortilla...","Dairy Free,Gluten Free,Kid Friendly,Meal Prep Recipes,Vegetarian Meals",0,0,0,1,0,1,1,0,0,0,0,0,1,1,american,http://www.skinnytaste.com/spanish-tortilla-with-pimenton-aioli/,0
Turkey Picadillo,https://www.skinnytaste.com/wp-content/uploads/2010/02/Turkey-Picadillo-8-260x390.jpg,238.0,29.0,7.5,11.0,"Turkey Picadillo is a lighter alternative to my favorite Cuban beef picadillo recipe only much leaner, and made with ground turkey instead. Turkey Picadillo Growing up in a Latin...","Dairy Free,Freezer Meals,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Meal Prep Recipes,Under 30 Minutes,Whole 30 Recipes",1,0,1,0,1,1,1,0,0,0,1,1,1,1,mediterranean,http://www.skinnytaste.com/2012/09/turkey-picadillohtml,0
"Farro Salad with Feta, Cucumbers and Sun Dried Tomatoes",https://www.skinnytaste.com/wp-content/uploads/2012/05/Farro-with-Feta-Cucumbers-and-Sun-Dried-Tomatoes-6-260x390.jpg,241.0,9.0,39.0,6.5,"This farro salad is made with Mediterranean ingredients – cucumbers, tomatoes, lemon juice, feta, and mint – delicious as a side dish or even for lunch! Mediterranean Farro Salad...","Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,0,0,0,0,1,0,0,0,mediterranean,http://www.skinnytaste.com/farro-salad-with-feta-cucumbers-and/,0
Easy (10-minute) Waffled Salmon Cakes,https://www.skinnytaste.com/wp-content/uploads/2021/04/Waffled-Salmon-Cakes-5-260x390.jpg,169.0,22.0,5.5,6.5,"These easy Salmon Cakes, made with pantry and refrigerator staples are cooked in a waffle maker – only 10 minutes from start to finish! Easy (10-minute) Waffled Salmon Cakes...","Dairy Free,Gluten Free,Low Carb,Meal Prep Recipes,Under 30 Minutes",0,0,0,0,1,1,1,0,0,0,1,0,1,0,american,http://www.skinnytaste.com/waffled-salmon-cakes/,0
